Magnet,Lockin_U,Lockin_Uh
2.84	,3.29e-05	,0.0007455
2.86	,3.2e-05	    ,0.000749
2.88	,3.29e-05	,0.000753
2.9	    ,3.585e-05	,0.000759
2.92	,3.97e-05	,0.0007665
2.94	,4.455e-05	,0.000774
2.96	,4.89e-05	,0.000782
2.98	,5.25e-05	,0.0007915
3	    ,5.515e-05	,0.0008005
3.02	,5.61e-05	,0.0008105
3.04	,5.58e-05	,0.0008185
3.06	,5.45e-05	,0.0008265
3.08	,5.145e-05	,0.000835
3.1	    ,4.775e-05	,0.000842
3.12	,4.285e-05	,0.000848
3.14	,3.555e-05	,0.0008535
3.16	,2.75e-05	,0.000858
3.18	,1.865e-05	,0.000861
3.2	    ,1.05e-05	,0.0008625
3.22	,3.5e-06	    ,0.000864
3.24	,5e-07	    ,0.0008645
3.26	,-1e-07	    ,0.000864
3.28	,-4.5e-07	,0.0008645
3.3	    ,-7.5e-07	,0.0008645
3.32	,-5e-07	    ,0.0008645
3.34	,-5.5e-07	,0.000864
3.36	,-5.5e-07	,0.000864
3.38	,-3.5e-07	,0.000865
3.4	    ,1.6e-06	    ,0.0008665
3.42	,6.3e-06	    ,0.0008695
3.44	,1.445e-05	,0.000874
3.46	,2.275e-05	,0.00088
3.48	,3.21e-05	,0.0008865
3.5	    ,4.095e-05	,0.0008945
3.52	,4.805e-05	,0.0009025
3.54	,5.45e-05	,0.0009105
3.56	,5.895e-05	,0.000918
3.58	,6.335e-05	,0.0009265
3.6	    ,6.66e-05	,0.000934
3.62	,6.95e-05	,0.000943
3.64	,7.14e-05	,0.0009505
3.66	,7.28e-05	,0.000958
3.68	,7.345e-05	,0.000967
3.7	    ,7.335e-05	,0.000974
3.72	,7.245e-05	,0.000982
3.74	,7.065e-05	,0.00099
3.76	,6.835e-05	,0.0009965
3.78	,6.495e-05	,0.0010035
3.8	    ,6.03e-05	,0.00101
3.82	,5.455e-05	,0.0010165
3.84	,4.835e-05	,0.001022
3.86	,4.225e-05	,0.001026
3.88	,3.545e-05	,0.00103
3.9	    ,2.955e-05	,0.001033
3.92	,2.335e-05	,0.0010355
3.94	,1.915e-05	,0.001037
3.96	,1.56e-05	,0.001038
3.98	,1.345e-05	,0.001039
4	    ,1.255e-05	,0.00104
