Magnet,Lockin_U,Lockin_Uh
3.06	,4.995e-05	,0.002593
3.08	,4.14e-05	,0.0025935
3.1	    ,3.63e-05	,0.002593
3.12	,2.97e-05	,0.002594
3.14	,2.375e-05	,0.002594
3.16	,2.07e-05	,0.002593
3.18	,1.65e-05	,0.0025935
3.2	    ,1.415e-05	,0.002593
3.22	,1.29e-05	,0.0025915
3.24	,9.4e-06	,0.002593
3.26	,7.95e-06	,0.002593
3.28	,6.25e-06	,0.0025925
3.3	    ,5.65e-06	,0.002592
3.32	,4.85e-06	,0.002592
3.34	,3.95e-06	,0.0025915
3.36	,3.65e-06	,0.002591
3.38	,4.05e-06	,0.00259
3.4	    ,2.6e-06	,0.0025905
3.42	,2.9e-06	,0.0025905
3.44	,3.4e-06	,0.0025895
3.46	,3.15e-06	,0.0025895
3.48	,3.1e-06	,0.002589
3.5	    ,3.75e-06	,0.0025885
3.52	,4e-06	    ,0.0025885
3.54	,4.75e-06	,0.0025885
3.56	,7.15e-06	,0.0025875
3.58	,8.75e-06	,0.0025865
3.6	    ,1.125e-05	,0.002586
3.62	,1.3e-05	,0.0025865
3.64	,1.835e-05	,0.002584
3.66	,2.45e-05	,0.002583
3.68	,2.905e-05	,0.002583
3.7	    ,3.825e-05	,0.0025805
3.72	,4.705e-05	,0.0025805
3.74	,5.855e-05	,0.0025795
3.76	,7.205e-05	,0.002578
3.78	,8.785e-05	,0.002577
3.8	    ,0.00010685	,0.0025755
3.82	,0.00012625	,0.0025755
3.84	,0.000151	,0.002574
3.86	,0.0001808	,0.002574
3.88	,0.00021245	,0.002574
3.9	    ,0.00024305	,0.002574
3.92	,0.00027895	,0.0025755
3.94	,0.00032215	,0.002576
3.96	,0.0003635	,0.002579
3.98	,0.0004067	,0.002582
4	    ,0.0004524	,0.002588
