Magnet,Lockin_U,Lockin_Uh
4	    ,5.15e-05	,0.0010415
3.98	,5.135e-05	,0.0010385
3.96	,5.095e-05	,0.001033
3.94	,5.07e-05	,0.001028
3.92	,5.055e-05	,0.001022
3.9	    ,4.98e-05	,0.001017
3.88	,4.96e-05	,0.001011
3.86	,4.915e-05	,0.001006
3.84	,4.88e-05	,0.001
3.82	,4.845e-05	,0.0009945
3.8	    ,4.775e-05	,0.0009885
3.78	,4.735e-05	,0.0009825
3.76	,4.685e-05	,0.0009775
3.74	,4.605e-05	,0.0009715
3.72	,4.565e-05	,0.000966
3.7	    ,4.475e-05	,0.0009605
3.68	,4.38e-05	,0.0009545
3.66	,4.27e-05	,0.0009485
3.64	,4.165e-05	,0.000943
3.62	,4.07e-05	,0.0009365
3.6	    ,3.905e-05	,0.000931
3.58	,3.755e-05	,0.000925
3.56	,3.585e-05	,0.0009195
3.54	,3.285e-05	,0.000914
3.52	,3.14e-05	,0.000907
3.5	    ,2.715e-05	,0.000904
3.48	,2.64e-05	,0.000896
3.46	,2.305e-05	,0.00089
3.44	,1.915e-05	,0.000884
3.42	,1.715e-05	,0.0008775
3.4	    ,9e-06	    ,0.000876
3.38	,6e-06	    ,0.0008695
3.36	,2.2e-06	    ,0.000867
3.34	,8.5e-07	    ,0.0008655
3.32	,7.5e-07	    ,0.000865
3.3	    ,2.45e-06	,0.000864
3.28	,5.25e-06	,0.0008625
3.26	,9.15e-06	,0.00086
3.24	,1.295e-05	,0.000856
3.22	,1.66e-05	,0.000852
3.2	    ,1.975e-05	,0.000848
3.18	,2.235e-05	,0.0008435
3.16	,2.585e-05	,0.000838
3.14	,2.82e-05	,0.0008325
3.12	,3.04e-05	,0.0008275
3.1	    ,3.225e-05	,0.0008215
3.08	,3.445e-05	,0.000815
3.06	,3.58e-05	,0.000809
3.04	,3.695e-05	,0.000804
3.02	,3.835e-05	,0.0007965
3	    ,3.86e-05	,0.0007915
2.98	,3.875e-05	,0.0007855
2.96	,3.955e-05	,0.000779
2.94	,3.96e-05	,0.0007725
2.92	,3.95e-05	,0.000767
2.9	    ,3.905e-05	,0.0007615
2.88	,3.905e-05	,0.000756
2.86	,3.88e-05	,0.00075
2.84	,3.845e-05	,0.0007435
2.82	,3.79e-05	,0.0007375
2.8	    ,3.725e-05	,0.0007325
2.78	,3.655e-05	,0.000726
2.76	,3.52e-05	,0.0007215
2.74	,3.41e-05	,0.0007145
2.72	,3.355e-05	,0.0007095
2.7	    ,3.215e-05	,0.000704
2.68	,3.065e-05	,0.000698
2.66	,2.86e-05	,0.0006925
2.64	,2.66e-05	,0.0006865
