Magnet,Lockin_U,Lockin_Uh
2.62	,2.435e-05	,0.0006805
2.6	    ,2.14e-05	,0.000675
2.58	,1.865e-05	,0.0006685
2.56	,1.455e-05	,0.000663
2.54	,1.11e-05	,0.0006585
2.52	,7.25e-06	,0.0006535
2.5	    ,4.45e-06	,0.00065
2.48	,4.05e-06	,0.000648
2.46	,6e-06	    ,0.000645
2.44	,8.1e-06	    ,0.0006425
2.42	,1.1e-05	    ,0.0006385
2.4	    ,1.425e-05	,0.0006335
2.38	,1.75e-05	,0.0006285
2.36	,1.975e-05	,0.0006235
2.34	,2.225e-05	,0.000618
2.32	,2.415e-05	,0.0006125
2.3	    ,2.575e-05	,0.0006065
2.28	,2.71e-05	,0.000601
2.26	,2.765e-05	,0.000595
2.24	,2.82e-05	,0.0005885
2.22	,2.83e-05	,0.000583
2.2	    ,2.78e-05	,0.000577
2.18	,2.75e-05	,0.0005715
2.16	,2.635e-05	,0.0005655
2.14	,2.54e-05	,0.00056
2.12	,2.39e-05	,0.0005535
2.1	    ,2.215e-05	,0.000548
2.08	,1.99e-05	,0.0005425
2.06	,1.665e-05	,0.0005365
2.04	,1.475e-05	,0.0005315
2.02	,1.12e-05	,0.0005255
2	    ,7.2e-06	    ,0.000521
1.98	,6.5e-06	    ,0.000517
1.96	,6.5e-06	    ,0.0005135
1.94	,9.1e-06	    ,0.00051
1.92	,1.11e-05	,0.0005055
1.9	    ,1.47e-05	,0.0005005
1.88	,1.695e-05	,0.0004955
1.86	,1.805e-05	,0.0004895
1.84	,1.965e-05	,0.0004845
1.82	,2.02e-05	,0.0004785
1.8	    ,2.025e-05	,0.000473
1.78	,2.005e-05	,0.0004665
1.76	,2.015e-05	,0.000461
1.74	,1.805e-05	,0.0004555
1.72	,1.695e-05	,0.0004495
1.7	    ,1.33e-05	,0.000444
1.68	,1.08e-05	,0.000438
1.66	,7.75e-06	,0.0004335
1.64	,6.45e-06	,0.000429
1.62	,7.6e-06	    ,0.000425
1.6	    ,1.015e-05	,0.0004205
1.58	,1.235e-05	,0.0004155
1.56	,1.48e-05	,0.00041
1.54	,1.56e-05	,0.000405
1.52	,1.665e-05	,0.0003995
1.5	    ,1.61e-05	,0.000394
1.48	,1.475e-05	,0.000388
1.46	,1.31e-05	,0.0003815
1.44	,1.06e-05	,0.0003765
1.42	,7.9e-06	    ,0.000371
1.4	    ,6.8e-06	    ,0.0003665
1.38	,7.9e-06	    ,0.000362
1.36	,9.95e-06	,0.0003575
1.34	,1.22e-05	,0.000352
1.32	,1.315e-05	,0.0003465
1.3	    ,1.315e-05	,0.000341
1.28	,1.19e-05	,0.0003355
1.26	,1e-05	    ,0.00033
1.24	,7.85e-06	,0.0003245
1.22	,6.95e-06	,0.000319
1.2	    ,8.1e-06	    ,0.0003145
1.18	,1.025e-05	,0.0003095
1.16	,1.11e-05	,0.0003045
1.14	,1.085e-05	,0.0002995
1.12	,9.65e-06	,0.0002935
1.1	    ,7.45e-06	,0.0002875
1.08	,7e-06	    ,0.000283
1.06	,8.2e-06	    ,0.0002785
1.04	,9.15e-06	,0.0002735
1.02	,9.85e-06	,0.0002675
1	    ,8.15e-06	,0.0002615
0.98	,7.3e-06	    ,0.000257
0.96	,7.3e-06	    ,0.000252
0.94	,8.55e-06	,0.0002465
0.92	,8.8e-06	    ,0.0002415
0.9	    ,7.25e-06	,0.000236
0.88	,7.45e-06	,0.000231
0.86	,7.85e-06	,0.0002255
0.84	,7.95e-06	,0.0002205
0.82	,6.9e-06	    ,0.000215
0.8	    ,7e-06	    ,0.00021
0.78	,7.7e-06	    ,0.0002045
0.76	,6.95e-06	,0.000199
0.74	,6.8e-06	    ,0.0001945
0.72	,7.35e-06	,0.000189
0.7	    ,6.75e-06	,0.000184
0.68	,6.85e-06	,0.0001785
0.66	,6.8e-06	    ,0.0001735
0.64	,6.65e-06	,0.000168
0.62	,6.7e-06	    ,0.000163
0.6	    ,6.05e-06	,0.0001575
0.58	,6.85e-06	,0.000152
0.56	,6.55e-06	,0.0001465
0.54	,6.25e-06	,0.000142
0.52	,5.85e-06	,0.000137
0.5	    ,6.5e-06	    ,0.000131
0.48	,6e-06	    ,0.000126
0.46	,5.85e-06	,0.000121
0.44	,6.15e-06	,0.000115
0.42	,5.9e-06	    ,0.000111
0.4	    ,5.85e-06	,0.000105
0.38	,5.65e-06	,0.0001
0.36	,5.5e-06	    ,9.5e-05
0.34	,5.65e-06	,8.9e-05
0.32	,5.5e-06	    ,8.4e-05
0.3	    ,5.65e-06	,7.9e-05
0.28	,5.5e-06	    ,7.4e-05
0.26	,5.3e-06	    ,6.85e-05
0.24	,5.25e-06	,6.3e-05
0.22	,5.15e-06	,5.8e-05
0.2	    ,5.25e-06	,5.3e-05
0.18	,5.35e-06	,4.75e-05
0.16	,5.25e-06	,4.2e-05
0.14	,5.25e-06	,3.75e-05
0.12	,5.25e-06	,3.2e-05
0.1	    ,5.1e-06	    ,2.7e-05
0.08	,5.35e-06	,2.1e-05
0.06	,5.25e-06	,1.7e-05
0.04	,5.6e-06	    ,1.2e-05
0.02	,5.9e-06	    ,6.5e-06
0	    ,6.65e-06	,1.5e-06
